SourceFile,FileName,GPSLatitude,GPSLongitude,GPSAltitude
LUGASSON/lug00001298_560nm.tif,lug00001298_560nm.tif,44.7563463,-0.1668647,149.263
LUGASSON/lug00001307_560nm.tif,lug00001307_560nm.tif,44.7557764,-0.1659341,147.162994
LUGASSON/lug00001313_560nm.tif,lug00001313_560nm.tif,44.7547504,-0.1667939,149.063004
LUGASSON/lug00001314_560nm.tif,lug00001314_560nm.tif,44.7545474,-0.1668524,150.462997
LUGASSON/lug00001316_560nm.tif,lug00001316_560nm.tif,44.7541178,-0.1669369,150.462997
LUGASSON/lug00001317_560nm.tif,lug00001317_560nm.tif,44.7538897,-0.1669872,149.763
LUGASSON/lug00001318_560nm.tif,lug00001318_560nm.tif,44.7536684,-0.1670379,149.662994
LUGASSON/lug00001319_560nm.tif,lug00001319_560nm.tif,44.7534361,-0.1671045,149.563004
LUGASSON/lug00001321_560nm.tif,lug00001321_560nm.tif,44.7529783,-0.1672229,150.263
LUGASSON/lug00001322_560nm.tif,lug00001322_560nm.tif,44.7527474,-0.167302,152.162994
LUGASSON/lug00001323_560nm.tif,lug00001323_560nm.tif,44.7525258,-0.1673774,153.063004
LUGASSON/lug00001324_560nm.tif,lug00001324_560nm.tif,44.7523201,-0.1674384,153.363007
LUGASSON/lug00001325_560nm.tif,lug00001325_560nm.tif,44.7521014,-0.1674832,154.263
LUGASSON/lug00001326_560nm.tif,lug00001326_560nm.tif,44.7518713,-0.1675213,154.962997
LUGASSON/lug00001327_560nm.tif,lug00001327_560nm.tif,44.7516571,-0.1675549,154.462997
LUGASSON/lug00001328_560nm.tif,lug00001328_560nm.tif,44.7514214,-0.1676067,154.162994
LUGASSON/lug00001329_560nm.tif,lug00001329_560nm.tif,44.7512139,-0.167655,154.462997
LUGASSON/lug00001330_560nm.tif,lug00001330_560nm.tif,44.7509841,-0.1676952,154.763
LUGASSON/lug00001331_560nm.tif,lug00001331_560nm.tif,44.7507688,-0.1677244,154.363007
LUGASSON/lug00001332_560nm.tif,lug00001332_560nm.tif,44.7505384,-0.1677654,153.363007
LUGASSON/lug00001333_560nm.tif,lug00001333_560nm.tif,44.75032,-0.1678294,151.662994
LUGASSON/lug00001334_560nm.tif,lug00001334_560nm.tif,44.7501081,-0.1678973,150.363007
LUGASSON/lug00001335_560nm.tif,lug00001335_560nm.tif,44.7498949,-0.1679578,149.563004
LUGASSON/lug00001336_560nm.tif,lug00001336_560nm.tif,44.7496876,-0.1680177,149.063004
LUGASSON/lug00001337_560nm.tif,lug00001337_560nm.tif,44.7494794,-0.1680711,148.363007
LUGASSON/lug00001338_560nm.tif,lug00001338_560nm.tif,44.7492697,-0.1681181,147.363007
LUGASSON/lug00001339_560nm.tif,lug00001339_560nm.tif,44.7490467,-0.1681632,146.263
LUGASSON/lug00001340_560nm.tif,lug00001340_560nm.tif,44.7488282,-0.1682016,145.462997
LUGASSON/lug00001341_560nm.tif,lug00001341_560nm.tif,44.7486203,-0.1682351,145.363007
LUGASSON/lug00001342_560nm.tif,lug00001342_560nm.tif,44.7483977,-0.1682815,145.263
LUGASSON/lug00001351_560nm.tif,lug00001351_560nm.tif,44.7482229,-0.1675339,142.662994
LUGASSON/lug00001355_560nm.tif,lug00001355_560nm.tif,44.7487391,-0.1678134,142.763
LUGASSON/lug00001356_560nm.tif,lug00001356_560nm.tif,44.7488907,-0.1677182,143.363007
LUGASSON/lug00001361_560nm.tif,lug00001361_560nm.tif,44.7496348,-0.1674897,143.763
LUGASSON/lug00001362_560nm.tif,lug00001362_560nm.tif,44.7497773,-0.1674967,143.363007
LUGASSON/lug00001363_560nm.tif,lug00001363_560nm.tif,44.7499197,-0.1675078,143.063004
LUGASSON/lug00001364_560nm.tif,lug00001364_560nm.tif,44.7500726,-0.1675108,142.462997
LUGASSON/lug00001365_560nm.tif,lug00001365_560nm.tif,44.7502271,-0.1674928,142.263
